Entity,Code,Year,Event,Value
Indian Ocean/Middle East,NA,1987,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1987,Severe bleaching events (>30% bleached),4
Indian Ocean/Middle East,NA,1988,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1988,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1989,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1989,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1990,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1990,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1991,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1991,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1992,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1992,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1993,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1993,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1994,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1994,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1995,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1995,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1996,Moderate bleaching events (1-30% bleached),1
Indian Ocean/Middle East,NA,1996,Severe bleaching events (>30% bleached),1
Indian Ocean/Middle East,NA,1997,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1997,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1998,Moderate bleaching events (1-30% bleached),4
Indian Ocean/Middle East,NA,1998,Severe bleaching events (>30% bleached),17
Indian Ocean/Middle East,NA,1999,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1999,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,2000,Moderate bleaching events (1-30% bleached),1
Indian Ocean/Middle East,NA,2000,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,2001,Moderate bleaching events (1-30% bleached),3
Indian Ocean/Middle East,NA,2001,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,2002,Moderate bleaching events (1-30% bleached),3
Indian Ocean/Middle East,NA,2002,Severe bleaching events (>30% bleached),3
Indian Ocean/Middle East,NA,2003,Moderate bleaching events (1-30% bleached),6
Indian Ocean/Middle East,NA,2003,Severe bleaching events (>30% bleached),1
Indian Ocean/Middle East,NA,2004,Moderate bleaching events (1-30% bleached),4
Indian Ocean/Middle East,NA,2004,Severe bleaching events (>30% bleached),2
Indian Ocean/Middle East,NA,2005,Moderate bleaching events (1-30% bleached),6
Indian Ocean/Middle East,NA,2005,Severe bleaching events (>30% bleached),5
Indian Ocean/Middle East,NA,2006,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,2006,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,2007,Moderate bleaching events (1-30% bleached),3
